gene_symbol,mean_coef,median_coef,abs_mean_coef,nonzero_frac,in_clingen_hcvd
FCGR2A,0.7107523,0.82063586,0.7107523,1.0,False
GFRA1,-0.4452757,-0.39401165,0.4452757,1.0,False
BGN,0.4133637,0.4288855,0.4133637,1.0,False
TTN,0.40504813,0.37546888,0.40504813,1.0,True
ROBO1,-0.38313067,-0.37316024,0.38313067,1.0,False
GATA4,0.3734644,0.44330278,0.3734644,0.8,True
CHCHD2,-0.36862308,-0.40126985,0.36862308,1.0,False
RPL23AP42,0.36580557,0.3405266,0.36580557,1.0,False
NEAT1,-0.35307533,-0.35881984,0.35307533,1.0,False
HSPG2,-0.34962553,-0.34579223,0.34962553,1.0,False
SLC6A8,-0.34870481,-0.3161541,0.34870481,1.0,False
CELF2,0.34396657,0.35701317,0.34396657,1.0,False
NAV2,0.34330082,0.32977813,0.34330082,1.0,False
SVEP1,0.33940202,0.31007287,0.33940202,1.0,False
MT-ATP8,-0.33724338,-0.33388522,0.33724338,1.0,False
C3,0.3328616,0.30874935,0.3328616,1.0,False
ACTA2,0.3316161,0.30475882,0.3316161,1.0,True
VCAN,0.32379878,0.30217317,0.32379878,1.0,False
PTPRC,-0.32155964,-0.32396996,0.32155964,1.0,False
TOP2A,-0.32051772,-0.30930334,0.32051772,1.0,False
IL1R1,-0.31985706,-0.27405098,0.31985706,1.0,False
CD248,-0.31252646,-0.3324841,0.31252646,1.0,False
CDKN1A,-0.30648622,-0.33492962,0.30648622,1.0,False
MALAT1,-0.30591005,-0.35078913,0.30591005,1.0,False
HSPB1,-0.30574992,-0.2869457,0.30574992,1.0,False
PIK3AP1,-0.29897386,-0.25246194,0.29897386,1.0,False
KITLG,-0.2983952,-0.28833893,0.2983952,1.0,False
MYH7,0.297695,0.31140906,0.297695,1.0,True
LCK,0.2961434,0.28320417,0.2961434,1.0,False
NR2F1,-0.29443908,-0.28761098,0.29443908,1.0,False
SNORA73A,0.29183695,0.25729668,0.29183695,1.0,False
TENM3,-0.29116017,-0.29937002,0.29116017,1.0,False
