disease_category,n_patients,n_samples,n_series,samples_per_patient_mean,samples_per_patient_median,samples_per_patient_q1,samples_per_patient_q3,samples_per_patient_max,genes_detected_mean,genes_detected_median,genes_detected_q1,genes_detected_q3,genes_detected_n,n_samples_with_resolved_patient_key,n_patients_truly_resolved,resolution_pct
cardiovascular,10080,10557,549.0,1.0473214285714285,1.0,1.0,1.0,52.0,27814.445770578764,29655.0,21683.0,34133.0,10557,725,248,6.8675
cancer_neoplasm,227398,244221,12980.0,1.0739804219913984,1.0,1.0,1.0,1539.0,25492.45021107931,29013.0,15331.0,34372.0,244221,22925,6102,9.387
neurological,4411,4711,313.0,1.068011788710043,1.0,1.0,1.0,28.0,33807.65824665676,35511.0,30176.0,41363.5,4711,631,331,13.3942
infectious,25377,38988,782.0,1.5363518146352997,1.0,1.0,1.0,2208.0,19274.4167179645,19617.5,4018.0,33274.25,38988,16112,2501,41.3255
metabolic_endocrine,23063,24810,289.0,1.0757490352512682,1.0,1.0,1.0,144.0,11491.912293430069,6801.5,4389.25,11365.5,24810,2379,632,9.5889
autoimmune,5994,15139,245.0,2.5256923590256926,1.0,1.0,1.0,737.0,17755.305568399497,12355.0,3511.0,31644.0,15139,10139,994,66.9727
respiratory,10516,11712,387.0,1.113731456827691,1.0,1.0,1.0,70.0,29673.566086065573,30151.5,24431.0,36824.25,11712,2157,961,18.417
renal,4132,5608,215.0,1.3572120038722169,1.0,1.0,1.0,336.0,15383.43134807418,6762.5,3270.75,29992.5,5608,1558,82,27.7817
musculoskeletal,970,1026,79.0,1.0577319587628866,1.0,1.0,1.0,4.0,32175.100389863546,32582.5,28133.5,38317.75,1026,80,24,7.7973
unclear_unlabeled,627082,741999,25780.0,1.1832567351638223,1.0,1.0,1.0,3500.0,22455.209163354666,25557.0,9231.0,33143.0,741999,135456,20539,18.2556
Total,938264,1098771,,1.1710680576042565,1.0,1.0,1.0,3500.0,22855.209160962568,26390.0,9264.0,33452.0,1098771,192162,31655,17.4888
